Number,Fe（%）,Ca（%）,K（%）,Ti（%）,Mn（mg/kg）,Zr（mg/kg）,S（mg/kg）,Sr（mg/kg）,Rb（mg/kg）,V（mg/kg）,Zn（mg/kg）,Cr（mg/kg）,Ni（mg/kg）,Cu（mg/kg）,Pb（mg/kg）,Sc（mg/kg）,Co（mg/kg）,W（mg/kg）
H1-1,2.78,0.8,2.27,0.48,440,235,232,184,108,113,79,71,72,29,26,22,86,38
H1-2,2.92,0.86,2.3,0.48,360,230,256,187,111,107,81,81,75,42,22,17,190,38
H1-3,2.92,0.88,2.19,0.46,411,223,202,189,110,111,86,73,67,39,23,13,48,47
H1-4,2.84,1,2.16,0.47,425,216,193,191,109,109,85,76,54,37,26,58,102,63
H1-5,2.81,1.17,2.18,0.47,425,224,109,190,107,101,87,75,57,40,24,17,142,43
H1-6,2.8,0.93,2.19,0.47,462,220,214,182,112,95,87,71,56,34,22,24,42,56
H1-7,2.74,1.11,2.24,0.47,446,225,386,187,108,130,90,65,72,40,23,33,44,27
H1-8,2.9,0.92,2.22,0.48,468,228,265,191,110,122,83,77,71,39,21,34,44,25
H1-9,2.74,0.93,2.28,0.48,424,238,218,183,111,120,87,72,88,41,24,43,35,28
H1-10,2.89,0.77,2.04,0.43,395,223,146,185,110,109,83,66,54,32,23,26,13,34
H2-1,2.77,0.97,2.19,0.46,493,222,171,182,105,96,82,74,58,39,23,25,39,33
H2-2,2.95,0.8,2.09,0.45,401,224,238,186,109,107,77,74,52,32,24,28,48,31
H2-3,2.74,0.73,2.27,0.49,291,215,30,190,110,145,82,64,61,35,24,22,124,40
H2-4,2.73,0.7,2.22,0.49,279,226,28,194,106,124,74,76,60,43,21,13,96,25
H2-5,2.67,0.84,2.3,0.49,332,225,380,197,110,139,79,72,65,35,10,28,82,31
H2-6,2.63,0.8,1.98,0.42,369,214,242,186,104,98,84,61,45,38,26,35,115,19
H2-7,2.7,0.87,2.35,0.5,336,232,179,195,108,199,80,74,79,30,21,30,82,35
H2-8,2.67,0.75,2.25,0.49,367,238,277,189,111,105,76,64,67,30,17,16,21,33
H2-9,2.34,0.77,2.23,0.47,349,249,341,198,107,120,71,68,74,40,23,27,38,34
H2-10,2.75,0.73,2.18,0.46,414,226,244,191,108,125,73,65,62,38,20,23,60,17
H3-1,2.89,1.08,2.15,0.46,457,220,73,181,108,103,85,83,61,40,28,26,120,22
H3-2,2.83,1.01,2.2,0.46,427,229,172,183,108,119,85,66,62,34,21,8,70,36
H3-3,2.68,0.76,2.18,0.46,364,226,255,182,110,122,77,63,80,39,21,17,59,35
H3-4,2.96,0.76,2.14,0.46,346,235,300,188,109,129,80,59,57,35,24,33,27,40
H3-5,2.73,0.7,2.12,0.47,376,249,167,208,105,86,67,63,71,35,21,12,32,23
H3-6,2.93,0.73,2.14,0.46,376,243,214,196,105,107,68,70,66,25,19,12,33,26
H3-7,2.81,0.66,2.15,0.47,363,239,412,212,107,101,72,74,55,40,23,35,56,20
H3-8,2.58,0.72,2.23,0.49,265,250,321,191,105,113,68,75,79,38,16,29,15,36
H3-9,2.79,0.72,2.19,0.48,362,231,35,188,108,139,74,63,46,36,19,26,109,29
H3-10,2.68,0.66,2.19,0.45,327,228,206,184,106,111,66,56,46,36,19,20,41,25
H4-1,2.69,1.17,2.19,0.47,444,217,254,178,103,114,78,71,91,38,26,20,50,45
H4-2,2.71,0.85,2.34,0.48,423,222,67,179,110,129,68,72,67,37,24,28,67,45
H4-3,3.49,0.66,2.35,0.53,612,222,53,163,112,129,72,87,76,36,19,24,87,29
H4-4,3.43,0.66,2.18,0.5,544,218,57,158,109,123,73,70,48,43,23,23,19,30
H4-5,2.79,0.9,2.19,0.49,440,223,63,171,113,138,74,70,57,39,21,34,67,24
H4-6,2.93,0.85,2.08,0.44,499,215,232,178,112,103,86,65,64,28,22,33,109,23
H4-7,2.85,0.82,2.09,0.46,422,227,166,199,107,125,73,73,63,31,21,27,24,29
H4-8,2.52,1,2.32,0.49,378,236,99,191,105,100,79,68,78,38,26,18,113,27
H4-9,2.22,0.68,2.17,0.49,266,232,121,186,109,110,63,75,58,38,18,23,98,36
H4-10,2.67,0.82,2.26,0.48,426,226,64,195,103,107,76,59,65,31,21,22,124,41
H5-1,2.8,1.14,2.11,0.45,425,216,548,190,105,116,83,55,64,36,20,24,74,34
H5-2,2.63,0.75,2.22,0.51,310,242,107,188,110,122,69,69,60,41,22,20,76,33
H5-3,2.26,0.66,2.12,0.46,275,247,140,198,105,124,52,56,41,39,18,34,55,32
H5-4,2.88,0.78,2.33,0.51,426,223,295,173,112,153,75,77,79,48,21,25,78,44
H5-5,2.04,1.06,2.07,0.44,479,209,243,182,105,110,77,65,56,34,22,39,68,39
H5-6,2.99,1.14,1.98,0.43,438,209,339,185,108,110,88,57,69,35,24,18,67,32
H5-7,2.71,0.8,2.19,0.48,287,259,272,196,107,116,72,79,55,40,20,12,57,40
H5-8,2.77,0.73,2.1,0.45,272,242,233,188,108,136,64,50,55,33,22,12,48,31
H5-9,2.68,0.98,2.31,0.5,409,221,244,188,107,119,77,75,75,36,23,12,132,48
H5-10,2.86,0.82,2.18,0.48,376,230,443,186,109,117,93,64,58,21,20,31,87,40
H6-1,2.87,1.01,2.09,0.46,489,216,335,183,104,118,75,74,63,37,27,27,28,24
H6-2,2.71,0.97,2.3,0.49,430,237,191,185,106,106,79,72,71,39,25,35,40,34
H6-3,2.87,1.01,2.09,0.46,489,216,335,183,104,118,75,74,63,37,27,27,28,24
H6-4,2.01,1.16,2.22,0.45,425,225,176,192,109,135,91,54,39,46,28,36,143,33
H6-5,2.67,0.88,2.21,0.48,349,239,260,195,108,94,72,74,70,24,22,35,47,40
H6-6,2.98,0.92,2.22,0.47,374,235,449,201,108,130,69,75,62,38,24,8,47,37
H6-7,2.53,0.7,2.16,0.48,228,243,192,204,105,125,58,69,62,31,19,14,24,47
H6-8,2.3,0.69,2.31,0.51,231,259,472,218,107,129,61,64,79,29,22,26,35,17
H6-9,2.96,0.83,1.96,0.43,327,222,124,194,109,98,76,64,61,43,24,31,10,23
H6-10,2.76,0.78,2.2,0.47,336,241,132,189,105,135,74,57,59,28,20,23,91,49
H7-1,2.83,1.22,2.12,0.43,568,198,311,181,103,110,90,76,78,47,30,25,23,13
H7-2,2.97,1.4,2.28,0.47,603,208,355,177,108,123,87,68,80,42,33,30,86,25
H7-3,2.93,1.16,2.29,0.47,586,220,227,178,110,124,89,65,72,33,31,33,63,33
H7-4,2.86,1.41,2.17,0.46,610,211,384,177,106,110,85,71,71,37,37,18,59,39
H7-5,2.84,1.23,2.15,0.43,534,222,295,188,106,115,80,78,68,49,22,34,119,28
H7-6,3.08,1.41,2.13,0.45,577,207,159,188,101,106,89,65,59,41,28,45,80,58
H7-7,2.8,1.23,2.2,0.47,454,214,267,195,106,113,82,88,71,31,25,43,108,44
H7-8,2.9,0.7,2.16,0.48,295,247,435,223,106,117,68,73,53,36,21,39,53,21
H7-9,2.58,0.64,1.98,0.44,260,242,251,212,105,87,68,62,41,33,19,47,33,28
H7-10,3.05,0.8,2.24,0.49,310,228,237,200,106,135,71,86,64,35,21,37,34,24
H8-1,2.56,1.63,1.94,0.38,479,196,677,188,100,85,61,55,48,35,30,71,76,26
H8-2,2.73,1.72,2.19,0.44,559,201,366,187,104,113,71,70,61,44,32,72,67,56
H8-3,2.77,1.54,2.21,0.46,592,200,239,185,105,107,90,79,74,37,46,58,54,38
H8-4,2.79,1.67,2.12,0.45,580,205,334,183,103,133,80,67,54,31,48,37,20,42
H8-5,2.83,1.61,2.19,0.46,630,204,257,183,107,116,80,70,91,50,34,45,55,28
H8-6,3.01,1.53,2.14,0.45,598,203,258,182,103,116,87,60,77,45,29,58,19,32
H8-7,2.88,1.16,2.21,0.49,413,222,225,189,109,111,75,71,65,34,22,64,28,37
H8-8,2.63,0.89,2.16,0.48,320,232,181,203,111,126,70,63,32,29,21,43,76,29
H8-9,2.51,0.99,2.22,0.49,364,241,279,206,107,130,65,55,72,36,25,11,66,27
H8-10,2.2,0.7,2.25,0.51,242,237,285,205,109,128,58,64,56,40,20,23,60,22
H9-1,2.82,0.98,2.26,0.48,536,196,985,185,105,131,79,67,78,36,27,78,32,50
H9-2,2.97,1.84,2.34,0.5,591,190,950,180,107,123,86,75,74,37,29,61,31,33
H9-3,2.71,1.8,2.15,0.44,568,191,464,187,101,103,76,62,85,41,33,43,43,24
H9-4,2.69,1.86,2.12,0.46,553,203,618,192,98,119,77,64,55,37,24,55,87,38
H9-5,2.45,1.81,2.04,0.44,506,219,422,198,99,103,64,77,63,30,18,52,33,22
H9-6,2.57,1.97,2.04,0.43,523,197,422,197,97,101,66,63,73,41,23,65,66,29
H9-7,2.62,1.75,2.03,0.42,493,213,633,193,98,109,76,62,65,31,28,31,85,39
H9-8,2.84,1.65,2.04,0.42,498,204,460,190,100,105,81,59,70,36,24,49,23,29
