Horizon,Depth,Al Concentration,Si Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Ni Concentration,Cu Concentration,Zn Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Pb Concentration,Th Concentration
M,0-10,6.46,25.39,312.80,1.51,0.31,0.37,63.70,43.80,391.00,1.99,17.89,18.90,60.40,74.90,84.70,22.60,356.00,13.40,21.00,11.25
L,10-20,6.57,27.36,226.10,1.42,0.16,0.34,61.00,34.50,328.00,1.82,19.40,18.30,46.80,66.40,69.80,20.10,305.30,13.70,13.70,10.30
K,20-30,6.64,26.37,200.60,1.41,0.48,0.36,63.60,41.90,349.40,2.10,20.20,21.10,54.90,77.40,80.00,22.20,289.20,14.70,15.60,11.80
J,30-40,6.75,26.57,192.50,1.52,0.66,0.38,72.60,49.20,407.50,2.33,22.60,23.20,64.50,87.70,98.00,25.00,278.50,17.30,18.00,13.60
I,40-50,6.24,25.90,211.80,1.50,1.18,0.39,70.30,48.70,417.50,2.36,22.60,26.10,67.30,93.10,116.60,27.30,260.70,17.80,19.30,14.10
H,50-60,5.91,24.89,175.60,1.48,1.86,0.40,71.70,41.20,302.10,2.55,21.30,24.50,71.20,94.30,127.70,26.00,251.60,19.80,20.56,17.60
G,60-70,5.97,24.38,234.00,1.42,2.32,0.37,77.50,51.80,346.25,2.39,21.70,22.50,73.20,89.00,123.80,25.00,257.70,18.20,19.33,14.40
F,70-80,5.20,23.39,176.88,1.31,1.77,0.35,71.90,47.30,303.00,2.23,18.80,24.00,71.30,85.30,125.90,26.30,257.40,18.60,16.10,16.20
E,80-90,6.08,26.52,112.38,1.43,1.37,0.35,69.33,46.56,334.25,2.10,19.50,21.60,63.20,75.40,118.70,21.22,265.40,15.00,15.20,12.00
D,90-100,6.06,24.40,125.50,1.42,1.44,0.35,66.56,49.89,331.75,2.16,24.10,21.70,62.10,74.40,108.80,25.60,281.90,15.40,14.30,13.40
C,100-110,6.72,25.21,165.30,1.36,1.05,0.30,58.70,44.60,338.60,2.19,29.70,19.50,58.10,69.60,99.10,18.70,260.90,12.20,12.40,11.33
B,110-120,3.89,13.64,121.17,0.84,13.42,0.21,55.80,35.20,201.70,1.55,21.80,16.30,43.40,48.30,204.10,13.60,185.80,9.70,9.50,13.33
A,120-130,3.29,13.61,217.80,0.73,13.93,0.19,48.70,39.40,165.40,1.18,20.10,12.40,33.20,40.30,204.80,12.00,178.00,8.40,8.40,12.50
A,0-15,6.49,26.05,283.90,1.48,0.26,0.36,62.80,40.70,370.00,1.93,18.39,18.70,55.87,72.07,79.73,21.77,339.10,13.50,18.57,10.93
Bt1,15-40,6.67,26.65,202.46,1.46,0.49,0.36,66.68,43.34,368.36,2.13,21.00,21.38,57.12,79.32,85.16,22.90,288.14,15.54,16.18,12.22
Btk1,40-84,5.85,24.81,191.64,1.43,1.74,0.38,72.53,47.19,341.49,2.36,20.95,24.03,70.06,89.06,123.06,25.70,257.63,18.27,18.49,15.25
Btk2,84-99,6.07,25.25,120.25,1.42,1.41,0.35,67.67,48.56,332.75,2.13,22.26,21.66,62.54,74.80,112.76,23.85,275.30,15.24,14.66,12.84
Btk3,99-117,5.58,20.67,145.93,1.16,5.88,0.27,58.01,41.24,284.98,1.94,26.32,18.38,52.61,61.58,140.47,17.10,232.86,11.41,11.38,12.23
Btk4,117-130,3.43,13.62,195.50,0.76,13.81,0.19,50.34,38.43,173.78,1.26,20.49,13.30,35.55,42.15,204.64,12.37,179.80,8.70,8.65,12.69
