Reading #,Method Name,User Factor Name,Test Label,Grid ID,Latitude,Longitude,Elevation,Pseudo Element Config Name,Date,Time, Units,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error 1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error 1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error 1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error 1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error 1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error 1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error 1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error 1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error 1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error 1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error 1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error 1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error 1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error 1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error 1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error 1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error 1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error 1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error 1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error 1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error 1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error 1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error 1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error 1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error 1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error 1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error 1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error 1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error 1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error 1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error 1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error 1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error 1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error 1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error 1s,info
1,Geochem(2),,1,CHECK,,,,,5/8/18,12:51:17,ppm,,,28884,2802,,,,11345,395,,,,7960,115,,,,1524,38,,,,13264,62,,,,10687,52,,,,1013,21,,,,<LOD,372,,,,277,9,,,,152857,466,,,,20632,114,,,,634607,1861,,,,<LOD,84,,,,90118,301,,,,4684,48,,,,<LOD,3,,,,<LOD,2,,,,9,3,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,<LOD,1,,,,20741,65,,,,<LOD,3,,,,<LOD,4,,,,124,18,,,,68,23,,,,334,18,,,,<LOD,4,,,,184,13,,,,621,12,,,,<LOD,2,,,,67,6,,,,<LOD,0,
2,Geochem(2),,2,A01,,,,,5/8/18,12:53:43,ppm,,,<LOD,7058,,,,64969,408,,,,254282,528,,,,<LOD,202,,,,<LOD,137,,,,12472,43,,,,74,18,,,,2966,52,,,,39,6,,,,37,8,,,,218,8,,,,19447,54,,,,<LOD,50,,,,16,3,,,,13,1,,,,46,1,,,,6,1,,,,<LOD,1,,,,63,1,,,,60,1,,,,16,1,,,,278,1,,,,13,1,,,,6,1,,,,<LOD,18,,,,<LOD,21,,,,<LOD,31,,,,<LOD,41,,,,<LOD,10,,,,<LOD,6,,,,11,1,,,,<LOD,12,,,,10,2,,,,<LOD,6,,,,644958,712,
3,Geochem(2),,3,A02,,,,,5/8/18,12:55:42,ppm,,,<LOD,6533,,,,70979,411,,,,258493,522,,,,<LOD,195,,,,153,15,,,,14556,46,,,,499,19,,,,3339,53,,,,61,6,,,,29,8,,,,282,8,,,,20907,56,,,,<LOD,51,,,,16,3,,,,18,2,,,,50,1,,,,8,1,,,,<LOD,1,,,,68,1,,,,76,1,,,,19,1,,,,267,1,,,,15,1,,,,4,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,13,1,,,,<LOD,12,,,,13,2,,,,<LOD,6,,,,630135,715,
4,Geochem(2),,4,A03,,,,,5/8/18,12:57:33,ppm,,,<LOD,10705,,,,48657,384,,,,282384,591,,,,<LOD,210,,,,<LOD,160,,,,10972,43,,,,<LOD,346,,,,2634,53,,,,37,6,,,,<LOD,33,,,,95,7,,,,12134,42,,,,<LOD,42,,,,12,3,,,,15,2,,,,30,1,,,,3,1,,,,<LOD,1,,,,51,1,,,,60,1,,,,18,1,,,,346,1,,,,13,1,,,,10,1,,,,<LOD,20,,,,<LOD,22,,,,<LOD,34,,,,<LOD,44,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,13,,,,15,2,,,,3,1,,,,642501,734,
5,Geochem(2),,5,A04,,,,,5/8/18,12:59:36,ppm,,,<LOD,9210,,,,55268,368,,,,287297,550,,,,<LOD,180,,,,<LOD,119,,,,12065,41,,,,<LOD,318,,,,2954,52,,,,46,6,,,,22,7,,,,233,8,,,,14019,42,,,,<LOD,42,,,,13,2,,,,15,1,,,,33,1,,,,5,0,,,,<LOD,1,,,,54,1,,,,63,1,,,,16,1,,,,273,1,,,,11,1,,,,5,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,10,1,,,,<LOD,12,,,,11,2,,,,3,1,,,,627582,695,
6,Geochem(2),,6,A05,,,,,5/8/18,13:01:38,ppm,,,<LOD,6489,,,,65458,398,,,,262337,530,,,,<LOD,199,,,,100,15,,,,13235,44,,,,480,19,,,,2890,51,,,,50,6,,,,24,7,,,,208,8,,,,17400,50,,,,<LOD,47,,,,17,3,,,,15,1,,,,39,1,,,,5,1,,,,<LOD,1,,,,59,1,,,,63,1,,,,16,1,,,,251,1,,,,13,1,,,,6,1,,,,<LOD,18,,,,<LOD,21,,,,<LOD,31,,,,<LOD,41,,,,<LOD,11,,,,<LOD,7,,,,12,1,,,,<LOD,12,,,,13,2,,,,2,1,,,,637310,707,
7,Geochem(2),,7,A06,33.60210037,-101.8990021,544.25,,5/8/18,13:03:37,ppm,,,<LOD,6407,,,,62953,394,,,,272503,546,,,,<LOD,192,,,,<LOD,127,,,,13349,44,,,,<LOD,354,,,,2767,51,,,,54,6,,,,27,8,,,,155,7,,,,16029,47,,,,<LOD,46,,,,14,3,,,,16,2,,,,38,1,,,,5,1,,,,<LOD,1,,,,58,1,,,,61,1,,,,16,1,,,,283,1,,,,12,1,,,,7,1,,,,<LOD,19,,,,<LOD,21,,,,<LOD,32,,,,<LOD,42,,,,<LOD,11,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,12,2,,,,3,1,,,,631630,714,
8,Geochem(2),,8,A07,33.60129929,-101.8980026,,,5/8/18,13:05:37,ppm,,,<LOD,5530,,,,68694,377,,,,273852,509,,,,<LOD,171,,,,<LOD,109,,,,12042,39,,,,<LOD,322,,,,2711,48,,,,35,5,,,,38,7,,,,156,7,,,,14777,42,,,,<LOD,41,,,,19,2,,,,10,1,,,,34,1,,,,5,0,,,,<LOD,1,,,,50,1,,,,52,1,,,,13,0,,,,281,1,,,,9,1,,,,3,1,,,,<LOD,17,,,,<LOD,19,,,,<LOD,29,,,,<LOD,38,,,,<LOD,10,,,,<LOD,6,,,,10,1,,,,<LOD,11,,,,6,2,,,,2,1,,,,627203,669,
9,Geochem(2),,9,A08,33.6012001,-101.8980026,744.9219971,,5/8/18,13:07:38,ppm,,,<LOD,9300,,,,61128,372,,,,272295,526,,,,<LOD,187,,,,<LOD,119,,,,11513,40,,,,<LOD,331,,,,2975,51,,,,48,6,,,,45,7,,,,151,7,,,,15996,46,,,,<LOD,44,,,,15,2,,,,13,1,,,,34,1,,,,4,0,,,,<LOD,1,,,,53,1,,,,55,1,,,,14,0,,,,271,1,,,,11,1,,,,5,1,,,,<LOD,18,,,,<LOD,20,,,,<LOD,31,,,,<LOD,40,,,,<LOD,10,,,,<LOD,7,,,,11,1,,,,<LOD,12,,,,8,2,,,,<LOD,6,,,,635354,683,
10,Geochem(2),,10,A09,33.60129929,-101.8970032,849.7750244,,5/8/18,13:09:32,ppm,,,<LOD,5229,,,,73285,383,,,,280244,512,,,,<LOD,171,,,,69,13,,,,13533,42,,,,<LOD,322,,,,2754,48,,,,44,5,,,,33,7,,,,157,7,,,,16224,45,,,,<LOD,43,,,,17,2,,,,16,1,,,,34,1,,,,4,0,,,,<LOD,1,,,,56,1,,,,53,1,,,,15,0,,,,295,1,,,,10,1,,,,3,1,,,,<LOD,17,,,,<LOD,19,,,,<LOD,30,,,,<LOD,39,,,,<LOD,10,,,,<LOD,6,,,,10,1,,,,<LOD,11,,,,7,2,,,,<LOD,5,,,,613136,678,
