Horizon,Depth,Al Concentration,Si Concentration,S Concentration,K Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Ni Concentration,Cu Concentration,Zn Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Pb Concentration,Th Concentration
M,0-10,5.82,26.99,209.78,1.21,0.32,49.00,31.11,283.20,1.40,15.20,14.90,33.70,51.00,57.50,16.10,313.00,12.22,12.10,11.56
L,10-20,5.99,27.96,170.50,1.27,0.32,53.00,32.75,265.30,1.47,15.20,15.30,34.10,52.10,55.40,16.50,306.70,12.20,10.60,12.11
K,20-30,6.72,27.54,141.40,1.25,0.32,51.80,46.40,279.80,1.76,16.40,15.30,40.80,60.30,58.20,16.90,294.70,11.67,11.80,8.86
J,30-40,6.97,26.26,153.60,1.29,0.32,56.40,40.10,278.00,1.97,19.50,16.10,47.20,67.10,62.50,17.60,282.90,13.00,12.10,9.50
I,40-50,7.40,26.02,160.40,1.31,0.33,57.90,45.10,277.50,2.16,19.40,17.40,52.00,73.10,67.00,17.80,292.00,12.80,13.50,9.00
H,50-60,7.53,25.61,159.50,1.36,0.34,59.30,47.20,297.70,2.29,21.90,20.20,55.50,76.30,69.90,19.20,303.00,14.20,14.00,12.33
G,60-70,7.37,25.70,174.00,1.36,0.34,62.20,44.90,284.20,2.21,19.90,20.30,53.70,74.40,69.90,19.00,294.10,14.00,14.00,10.67
F,70-80,7.37,26.55,108.67,1.38,0.33,61.70,43.90,303.40,2.13,19.00,18.00,51.50,72.40,69.70,19.10,282.70,13.40,13.70,8.90
E,80-90,6.83,26.77,146.43,1.34,0.31,61.00,37.11,262.11,1.98,20.44,17.00,46.78,68.89,68.11,18.00,281.80,12.22,12.78,10.60
D,90-100,7.27,26.06,82.38,1.34,0.31,60.80,36.10,253.00,2.00,20.00,16.80,47.40,66.30,64.40,17.50,277.30,12.80,11.80,11.10
C,100-110,7.09,26.06,84.11,1.31,0.29,48.50,37.60,208.30,1.89,18.60,15.50,43.60,62.00,59.40,15.90,280.00,12.30,11.30,11.20
B,110-120,6.79,27.01,84.11,1.30,0.29,48.80,38.00,234.40,1.71,20.10,15.00,40.40,58.80,59.50,15.90,280.90,11.80,11.10,10.44
A,120-130,6.38,27.24,107.33,1.26,0.28,45.10,31.88,182.80,1.60,15.80,14.10,36.70,55.80,58.90,15.50,278.80,11.50,10.80,10.40
A1,0-12,5.85,27.15,203.23,1.22,0.32,49.67,31.38,280.22,1.41,15.20,14.97,33.77,51.18,57.15,16.17,311.95,12.22,11.85,11.65
A2,12-24,6.23,27.82,160.80,1.26,0.32,52.60,37.30,270.13,1.57,15.60,15.30,36.33,54.83,56.33,16.63,302.70,12.02,11.00,11.03
Bt1,24-34,6.82,27.03,146.28,1.27,0.32,53.64,43.88,279.08,1.84,17.64,15.62,43.36,63.02,59.92,17.18,289.98,12.20,11.92,9.11
Bt2,34-47,7.20,26.13,157.26,1.30,0.32,57.21,42.79,277.73,2.07,19.45,16.80,49.78,70.33,64.92,17.71,287.80,12.89,12.85,9.23
Bt3,47-63,7.47,25.70,162.39,1.35,0.33,59.58,46.38,291.38,2.25,21.06,19.69,54.51,75.34,69.36,18.90,299.27,13.90,13.91,11.40
Bt4,63-114,7.15,26.32,113.14,1.34,0.31,57.85,39.48,258.73,2.01,19.61,17.16,47.65,67.68,65.56,17.68,282.36,12.79,12.51,10.48
Bt5,114-130,6.53,27.16,98.63,1.27,0.29,46.49,34.17,202.15,1.64,17.41,14.44,38.09,56.93,59.13,15.65,279.59,11.61,10.91,10.42
